Fra:1 Mem:37.40M (Peak 37.40M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Object_2
Fra:1 Mem:45.79M (Peak 63.74M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:45.78M (Peak 63.74M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0.002
Fra:1 Mem:46.17M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:46.17M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:46.17M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:46.17M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:46.25M (Peak 63.74M) | Time:00:00.05 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:47.78M (Peak 63.74M) | Time:00:00.06 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:50.07M (Peak 63.74M) | Time:00:00.06 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:50.07M (Peak 63.74M) | Time:00:00.06 | Mem:6.29M, Peak:6.29M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:50.07M (Peak 63.74M) | Time:00:00.06 | Mem:6.29M, Peak:6.29M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:50.07M (Peak 63.74M) | Time:00:00.06 | Mem:9.34M, Peak:9.34M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:50.07M (Peak 63.74M) | Time:00:00.06 | Mem:12.66M, Peak:15.72M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
